row_id,text,aspect,declared_sentiment,supported,sentiment_match,note,overall_note
0,tbh exams were pretty fair tho exam questions werent too tricky & curve was okay grade didnt surprise me since i studied decently still managed 2 pass with a good score no real issues there,exam_fairness,positive,True,True,The review says exams were 'pretty fair' and the curve was okay.,"Labels for exam fairness and difficulty fit the review, but clarity is not addressed in the text."
0,tbh exams were pretty fair tho exam questions werent too tricky & curve was okay grade didnt surprise me since i studied decently still managed 2 pass with a good score no real issues there,difficulty,positive,True,True,"The reviewer notes exam questions weren't too tricky and they passed with a good score, indicating manageable difficulty.","Labels for exam fairness and difficulty fit the review, but clarity is not addressed in the text."
0,tbh exams were pretty fair tho exam questions werent too tricky & curve was okay grade didnt surprise me since i studied decently still managed 2 pass with a good score no real issues there,clarity,neutral,False,False,"No clear mention of clarity (e.g., instruction, lectures, explanations); only discusses exam fairness/difficulty and grading.","Labels for exam fairness and difficulty fit the review, but clarity is not addressed in the text."
0,tbh exams were pretty fair tho exam questions werent too tricky & curve was okay grade didnt surprise me since i studied decently still managed 2 pass with a good score no real issues there,__row_summary__,,False,False,supported 2/3; sentiment 2/3,"Labels for exam fairness and difficulty fit the review, but clarity is not addressed in the text."
1,prof levi's course was really helpful!,support,positive,True,True,"The review says the course was really helpful, indicating positive support/helpfulness.",The declared positive sentiment for support is consistent with the review.
1,prof levi's course was really helpful!,__row_summary__,,True,True,supported 1/1; sentiment 1/1,The declared positive sentiment for support is consistent with the review.
2,prof klein is okay i guess,exam_fairness,neutral,False,False,The review only gives a vague opinion about the professor and does not mention exams or fairness.,The declared exam fairness label is not grounded in the review text.
2,prof klein is okay i guess,__row_summary__,,False,False,supported 0/1; sentiment 0/1,The declared exam fairness label is not grounded in the review text.
3,it's a drag that the only good thing was lectures,exam_fairness,negative,False,False,The review does not mention exams or their fairness.,Only lecturer/lecture quality is clearly praised; other aspects are not discussed.
3,it's a drag that the only good thing was lectures,lecturer_quality,positive,True,True,Saying the only good thing was lectures implies a positive view of the lectures/teaching.,Only lecturer/lecture quality is clearly praised; other aspects are not discussed.
3,it's a drag that the only good thing was lectures,support,neutral,False,False,There is no reference to student support or help resources.,Only lecturer/lecture quality is clearly praised; other aspects are not discussed.
3,it's a drag that the only good thing was lectures,__row_summary__,,False,False,supported 1/3; sentiment 1/3,Only lecturer/lecture quality is clearly praised; other aspects are not discussed.
4,office hours were a total waste tbh,support,negative,False,False,"The review complains about office hours being a waste, not about instructional support in general.","The sentiment is negative, but the labeled aspect is too broad and not explicitly mentioned."
4,office hours were a total waste tbh,__row_summary__,,False,False,supported 0/1; sentiment 0/1,"The sentiment is negative, but the labeled aspect is too broad and not explicitly mentioned."
5,"prof's lectures rocked, but office hours were a total ghost",lecturer_quality,positive,True,True,“prof's lectures rocked” clearly praises lecture quality.,Both aspect labels are directly supported by the review and the sentiments align.
5,"prof's lectures rocked, but office hours were a total ghost",support,negative,True,True,“office hours were a total ghost” indicates lack of available help/support.,Both aspect labels are directly supported by the review and the sentiments align.
5,"prof's lectures rocked, but office hours were a total ghost",__row_summary__,,True,True,supported 2/2; sentiment 2/2,Both aspect labels are directly supported by the review and the sentiments align.
6,calc 2 was okay tbh prof levi's lectures were standard nothing special exam questions were fine average score tho didnt feel like it made me super prepared but passed anyway grade c idk,exam_fairness,neutral,True,True,"The review says the 'exam questions were fine' and describes performance as average, indicating a neutral/okay view of exam fairness.",The exam-related comment is mildly neutral and aligns with the declared label.
6,calc 2 was okay tbh prof levi's lectures were standard nothing special exam questions were fine average score tho didnt feel like it made me super prepared but passed anyway grade c idk,__row_summary__,,True,True,supported 1/1; sentiment 1/1,The exam-related comment is mildly neutral and aligns with the declared label.
7,course was fine tbh exam qns were avg didnt rly feel like it tested our understanding tho materials were meh dr mizrahi's slides were hard 2 follow & moodle was slow idk how others did but i had 2 study pretty hard just to get,exam_fairness,neutral,True,False,"Mentions exam questions were average and didn't test understanding, implying a negative view rather than neutral.","The review is generally negative about learning materials and exam quality, and does not address support."
7,course was fine tbh exam qns were avg didnt rly feel like it tested our understanding tho materials were meh dr mizrahi's slides were hard 2 follow & moodle was slow idk how others did but i had 2 study pretty hard just to get,materials,negative,True,True,"Says materials were 'meh' and slides were hard to follow, indicating negative sentiment.","The review is generally negative about learning materials and exam quality, and does not address support."
