approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,assessment_design,0.7827380952380952,0.4672897196261682,0.1396648044692737,0.2150537634408602,0.9568835098335856,0.5482741571514296,0.1618995666536515,0.4842038169479929,0.75,50,1265,57,308
bert-base-uncased,clarity,0.6059523809523809,0.3807785888077858,0.6716738197424893,0.4860248447204969,0.5807248764415156,0.6261993480920025,0.2260527819783143,0.6422980782141114,0.4999999999999999,313,705,509,153
bert-base-uncased,difficulty,0.763095238095238,0.2669491525423729,0.21875,0.2404580152671755,0.8757183908045977,0.5472341954022988,0.1024619887136472,0.4958344574662901,0.4999999999999999,63,1219,173,225
bert-base-uncased,grading_transparency,0.9714285714285714,0.4878048780487805,0.425531914893617,0.4545454545454545,0.9871402327005512,0.7063360737970841,0.4410276054301712,0.8537738563492894,0.65,20,1612,21,27
bert-base-uncased,lecturer_quality,0.6833333333333333,0.8571428571428571,0.3939393939393939,0.5397923875432526,0.9414414414414416,0.6676904176904177,0.4063765877845054,0.1510192616503142,0.75,312,836,52,480
bert-base-uncased,materials,0.8017857142857143,0.6630434782608695,0.1680440771349862,0.2681318681318681,0.976461655277145,0.5722528662060656,0.2614039301324592,0.3407339702362001,0.6,61,1286,31,302
bert-base-uncased,organization,0.9523809523809524,0.0,0.0,0.0,0.963275135460566,0.481637567730283,-0.0207602929403827,,0.7999999999999999,0,1600,61,19
bert-base-uncased,overall_experience,0.1559523809523809,0.8297872340425532,0.0527027027027027,0.0991105463786531,0.92,0.4863513513513514,-0.0384636050805632,0.6422763251914427,0.4999999999999999,78,184,16,1402
bert-base-uncased,relevance,0.6339285714285714,0.1616,0.5260416666666666,0.2472460220318237,0.6478494623655914,0.586945564516129,0.1144625109451283,0.4276831027000478,0.5499999999999999,101,964,524,91
bert-base-uncased,support,0.3619047619047619,0.0676156583629893,0.76,0.1241830065359477,0.3367088607594937,0.5483544303797468,0.0486266397310805,0.5883438751395595,0.4999999999999999,76,532,1048,24
bert-base-uncased,workload,0.9166666666666666,0.5,0.0142857142857142,0.0277777777777777,0.9987012987012988,0.5064935064935066,0.0736489653829189,0.0084787913765467,0.7,2,1538,2,138
