grouping,approach,group_name,precision,recall,f1,support
none_20_aspects,albert-base-v2,accessibility,0.092,1.0,0.1684981684981685,92
none_20_aspects,albert-base-v2,assessment_design,0.109,1.0,0.19657348963029755,109
none_20_aspects,albert-base-v2,clarity,0.099,1.0,0.18016378525932666,99
none_20_aspects,albert-base-v2,difficulty,0.095,1.0,0.1735159817351598,95
none_20_aspects,albert-base-v2,exam_fairness,0.102,1.0,0.1851179673321234,102
none_20_aspects,albert-base-v2,feedback_quality,0.082,1.0,0.15157116451016636,82
none_20_aspects,albert-base-v2,grading_transparency,0.108,1.0,0.19494584837545126,108
none_20_aspects,albert-base-v2,interest,0.09,1.0,0.1651376146788991,90
none_20_aspects,albert-base-v2,lecturer_quality,0.101,1.0,0.18346957311534967,101
none_20_aspects,albert-base-v2,materials,0.094,1.0,0.17184643510054845,94
none_20_aspects,albert-base-v2,organization,0.106,1.0,0.19168173598553345,106
none_20_aspects,albert-base-v2,overall_experience,0.117,1.0,0.20948970456580127,117
none_20_aspects,albert-base-v2,pacing,0.106,1.0,0.19168173598553345,106
none_20_aspects,albert-base-v2,peer_interaction,0.107,1.0,0.1933152664859982,107
none_20_aspects,albert-base-v2,practical_application,0.096,1.0,0.17518248175182483,96
none_20_aspects,albert-base-v2,prerequisite_fit,0.097,1.0,0.17684594348222424,97
none_20_aspects,albert-base-v2,relevance,0.105,1.0,0.19004524886877827,105
none_20_aspects,albert-base-v2,support,0.096,1.0,0.17518248175182483,96
none_20_aspects,albert-base-v2,tooling_usability,0.107,1.0,0.1933152664859982,107
none_20_aspects,albert-base-v2,workload,0.104,1.0,0.18840579710144928,104
none_20_aspects,bert-base-uncased,accessibility,0.18128654970760233,0.5299145299145299,0.2701525054466231,117
none_20_aspects,bert-base-uncased,assessment_design,0.7777777777777778,0.32941176470588235,0.4628099173553719,85
none_20_aspects,bert-base-uncased,clarity,0.18811881188118812,0.20430107526881722,0.1958762886597938,93
none_20_aspects,bert-base-uncased,difficulty,0.2,0.3173076923076923,0.24535315985130113,104
none_20_aspects,bert-base-uncased,exam_fairness,0.7377049180327869,0.391304347826087,0.5113636363636364,115
none_20_aspects,bert-base-uncased,feedback_quality,0.11510791366906475,0.35555555555555557,0.17391304347826086,90
none_20_aspects,bert-base-uncased,grading_transparency,0.8823529411764706,0.2857142857142857,0.4316546762589928,105
none_20_aspects,bert-base-uncased,interest,0.10471204188481675,0.7920792079207921,0.18497109826589594,101
none_20_aspects,bert-base-uncased,lecturer_quality,0.40217391304347827,0.36633663366336633,0.38341968911917096,101
none_20_aspects,bert-base-uncased,materials,0.7368421052631579,0.38181818181818183,0.5029940119760479,110
none_20_aspects,bert-base-uncased,organization,0.696969696969697,0.24731182795698925,0.36507936507936506,93
none_20_aspects,bert-base-uncased,overall_experience,0.09882005899705015,0.67,0.17223650385604114,100
none_20_aspects,bert-base-uncased,pacing,0.5542168674698795,0.5227272727272727,0.5380116959064327,88
none_20_aspects,bert-base-uncased,peer_interaction,0.36619718309859156,0.22608695652173913,0.27956989247311825,115
none_20_aspects,bert-base-uncased,practical_application,0.5681818181818182,0.2604166666666667,0.35714285714285715,96
none_20_aspects,bert-base-uncased,prerequisite_fit,0.19704433497536947,0.3883495145631068,0.26143790849673204,103
none_20_aspects,bert-base-uncased,relevance,0.19047619047619047,0.14634146341463414,0.16551724137931034,82
none_20_aspects,bert-base-uncased,support,0.1103448275862069,0.6666666666666666,0.1893491124260355,96
none_20_aspects,bert-base-uncased,tooling_usability,0.6133333333333333,0.4144144144144144,0.4946236559139785,111
none_20_aspects,bert-base-uncased,workload,0.5934065934065934,0.6835443037974683,0.6352941176470588,79
none_20_aspects,bert_joint,accessibility,0.11242603550295859,0.6195652173913043,0.19031719532554256,92
none_20_aspects,bert_joint,assessment_design,0.8378378378378378,0.28440366972477066,0.4246575342465753,109
none_20_aspects,bert_joint,clarity,0.12213740458015267,0.6464646464646465,0.20545746388443017,99
none_20_aspects,bert_joint,difficulty,0.10353227771010962,0.8947368421052632,0.185589519650655,95
none_20_aspects,bert_joint,exam_fairness,0.6779661016949152,0.39215686274509803,0.4968944099378882,102
none_20_aspects,bert_joint,feedback_quality,0.09547738693467336,0.926829268292683,0.17312072892938496,82
none_20_aspects,bert_joint,grading_transparency,0.8108108108108109,0.2777777777777778,0.41379310344827586,108
none_20_aspects,bert_joint,interest,0.10703812316715543,0.8111111111111111,0.18911917098445596,90
none_20_aspects,bert_joint,lecturer_quality,0.24444444444444444,0.5445544554455446,0.3374233128834356,101
none_20_aspects,bert_joint,materials,0.5849056603773585,0.32978723404255317,0.4217687074829932,94
none_20_aspects,bert_joint,organization,0.6415094339622641,0.32075471698113206,0.4276729559748428,106
none_20_aspects,bert_joint,overall_experience,0.12685560053981107,0.8034188034188035,0.2191142191142191,117
none_20_aspects,bert_joint,pacing,0.6285714285714286,0.41509433962264153,0.5,106
none_20_aspects,bert_joint,peer_interaction,0.20359281437125748,0.3177570093457944,0.24817518248175183,107
none_20_aspects,bert_joint,practical_application,0.4383561643835616,0.3333333333333333,0.378698224852071,96
none_20_aspects,bert_joint,prerequisite_fit,0.10337552742616034,0.5051546391752577,0.17162872154115585,97
none_20_aspects,bert_joint,relevance,0.17647058823529413,0.2857142857142857,0.21818181818181817,105
none_20_aspects,bert_joint,support,0.09881422924901186,0.78125,0.17543859649122806,96
none_20_aspects,bert_joint,tooling_usability,0.5,0.42990654205607476,0.4623115577889447,107
none_20_aspects,bert_joint,workload,0.6986301369863014,0.49038461538461536,0.576271186440678,104
none_20_aspects,distilbert-base-uncased,accessibility,0.21710526315789475,0.28205128205128205,0.24535315985130113,117
none_20_aspects,distilbert-base-uncased,assessment_design,0.84375,0.3176470588235294,0.46153846153846156,85
none_20_aspects,distilbert-base-uncased,clarity,0.2153846153846154,0.15053763440860216,0.17721518987341772,93
none_20_aspects,distilbert-base-uncased,difficulty,0.19095477386934673,0.36538461538461536,0.2508250825082508,104
none_20_aspects,distilbert-base-uncased,exam_fairness,0.7903225806451613,0.4260869565217391,0.5536723163841808,115
none_20_aspects,distilbert-base-uncased,feedback_quality,0.09200603318250378,0.6777777777777778,0.16201859229747675,90
none_20_aspects,distilbert-base-uncased,grading_transparency,0.8235294117647058,0.26666666666666666,0.4028776978417266,105
none_20_aspects,distilbert-base-uncased,interest,0.1021437578814628,0.801980198019802,0.18120805369127516,101
none_20_aspects,distilbert-base-uncased,lecturer_quality,0.35772357723577236,0.43564356435643564,0.39285714285714285,101
none_20_aspects,distilbert-base-uncased,materials,0.7692307692307693,0.36363636363636365,0.49382716049382713,110
none_20_aspects,distilbert-base-uncased,organization,0.6578947368421053,0.26881720430107525,0.3816793893129771,93
none_20_aspects,distilbert-base-uncased,overall_experience,0.10298102981029811,0.76,0.18138424821002386,100
none_20_aspects,distilbert-base-uncased,pacing,0.4830508474576271,0.6477272727272727,0.5533980582524272,88
none_20_aspects,distilbert-base-uncased,peer_interaction,0.509090909090909,0.24347826086956523,0.32941176470588235,115
