row_id,support_rate_gpt,match_rate_gpt,support_rate_llama-3.3-70b,match_rate_llama-3.3-70b,support_rate_glm-4.6,match_rate_glm-4.6
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.5,1.0,1.0,0.5,0.5
3,0.5,0.0,1.0,0.0,1.0,0.5
4,1.0,0.0,1.0,0.0,1.0,0.0
5,1.0,1.0,1.0,0.0,1.0,1.0
6,0.5,0.5,0.5,0.5,0.5,0.5
7,0.5,0.0,0.5,0.5,0.0,0.0
8,1.0,0.0,1.0,0.0,1.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.0,1.0,0.0,1.0,0.0
11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,1.0,0.5,0.5,0.0,0.5,0.5
13,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666
14,0.5,0.5,1.0,0.5,0.5,0.5
15,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
18,0.5,0.0,1.0,1.0,0.5,0.0
19,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
20,0.5,0.0,0.5,0.5,0.5,0.5
21,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
22,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,0.0,0.5,0.0,1.0,0.0
25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
26,1.0,0.5,1.0,0.5,1.0,0.5
27,1.0,0.5,1.0,0.5,1.0,1.0
28,1.0,1.0,1.0,1.0,0.5,0.5
29,0.5,0.5,0.5,0.5,0.5,0.5
30,1.0,1.0,1.0,1.0,1.0,1.0
31,0.5,0.5,0.5,0.5,0.5,0.5
32,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
33,0.5,0.5,1.0,1.0,0.0,0.0
34,0.0,0.0,0.0,0.0,1.0,1.0
35,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0
36,1.0,0.0,1.0,1.0,0.0,0.0
37,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666
38,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
39,1.0,0.0,1.0,0.0,1.0,0.0
40,1.0,1.0,1.0,1.0,1.0,1.0
41,1.0,0.0,1.0,0.5,1.0,0.5
42,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
43,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
44,1.0,0.0,0.5,0.0,0.5,0.0
45,0.5,0.0,0.0,0.0,0.5,0.5
46,1.0,0.5,0.5,0.5,0.5,0.5
47,0.5,0.5,0.5,0.5,1.0,1.0
48,0.5,0.0,0.5,0.5,0.0,0.0
49,0.0,0.0,1.0,0.0,1.0,1.0
50,1.0,0.5,1.0,0.5,1.0,1.0
51,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
52,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
53,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
54,0.5,0.5,0.5,0.0,1.0,1.0
55,1.0,0.5,1.0,0.5,1.0,0.5
56,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,0.0,1.0,0.5,0.5,0.5
58,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,0.5,1.0,1.0,1.0,0.5
60,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
61,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333
62,1.0,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,0.0,0.0
64,1.0,1.0,1.0,1.0,1.0,1.0
65,0.5,0.5,0.5,0.0,0.5,0.5
66,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
67,0.5,0.5,0.5,0.5,0.5,0.5
68,0.5,0.5,0.5,0.5,0.5,0.5
69,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
70,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
71,0.5,0.0,0.5,0.0,0.5,0.5
72,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,0.0,1.0,0.0,1.0,1.0
74,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666
75,1.0,0.5,0.5,0.5,0.5,0.5
76,1.0,0.5,0.5,0.5,0.5,0.5
77,1.0,1.0,1.0,1.0,1.0,1.0
78,0.0,0.0,0.0,0.0,1.0,1.0
79,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0
81,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333
82,1.0,0.0,0.5,0.5,0.5,0.5
83,1.0,0.5,1.0,0.0,1.0,0.5
84,1.0,0.0,1.0,0.0,1.0,1.0
85,0.5,0.0,0.5,0.0,0.5,0.0
86,1.0,1.0,1.0,1.0,1.0,1.0
87,1.0,0.5,0.5,0.5,0.5,0.5
88,0.5,0.5,0.5,0.5,1.0,1.0
89,1.0,0.5,1.0,0.5,0.5,0.0
90,1.0,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0,1.0
92,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
93,1.0,0.5,1.0,1.0,0.5,0.5
94,1.0,1.0,1.0,1.0,0.5,0.5
95,1.0,1.0,1.0,1.0,1.0,1.0
96,0.0,0.0,0.0,0.0,0.5,0.0
97,0.5,0.0,0.5,0.0,0.5,0.0
98,0.0,0.0,0.5,0.5,0.0,0.0
99,1.0,0.0,1.0,0.0,1.0,0.0
100,1.0,1.0,1.0,0.0,1.0,1.0
101,0.5,0.0,0.5,0.0,0.5,0.0
102,0.0,0.0,1.0,0.0,0.0,0.0
103,0.5,0.0,0.5,0.0,0.5,0.5
104,1.0,0.0,0.0,0.0,1.0,0.0
105,1.0,0.5,1.0,0.5,1.0,0.5
106,1.0,1.0,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,0.0,1.0,1.0
108,1.0,1.0,1.0,1.0,1.0,1.0
109,1.0,0.0,1.0,0.0,1.0,1.0
110,1.0,1.0,1.0,1.0,1.0,1.0
111,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
112,0.5,0.5,1.0,0.5,1.0,1.0
113,1.0,1.0,1.0,1.0,1.0,1.0
114,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666
115,1.0,0.0,1.0,0.0,1.0,0.0
116,0.6666666666666666,0.0,1.0,0.0,1.0,1.0
117,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
118,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666
119,1.0,1.0,1.0,1.0,1.0,1.0
120,1.0,0.0,1.0,0.0,1.0,0.0
121,1.0,0.0,0.5,0.0,0.5,0.0
122,1.0,0.0,1.0,0.0,1.0,0.5
